time/s	mode	Capacity/mA.h	(Q-Qo)/mA.h	Ewe/V	cycle number	
0.000000000000000E+000	3	0.000000000000000E+000	0.000000000000000E+000	3.3690608E+000	0.000000000000000E+000
9.999999747378752E-001	3	0.000000000000000E+000	0.000000000000000E+000	3.3691180E+000	0.000000000000000E+000
1.999999949475750E+000	3	0.000000000000000E+000	0.000000000000000E+000	3.3691370E+000	0.000000000000000E+000
2.999999924213625E+000	3	0.000000000000000E+000	0.000000000000000E+000	3.3690417E+000	0.000000000000000E+000
3.999999898951501E+000	3	0.000000000000000E+000	0.000000000000000E+000	3.3690989E+000	0.000000000000000E+000
4.999999873689376E+000	3	0.000000000000000E+000	0.000000000000000E+000	3.3690417E+000	0.000000000000000E+000
5.999999848427251E+000	3	0.000000000000000E+000	0.000000000000000E+000	3.3690798E+000	0.000000000000000E+000
6.999999823165126E+000	3	0.000000000000000E+000	0.000000000000000E+000	3.3691370E+000	0.000000000000000E+000
7.999999797903001E+000	3	0.000000000000000E+000	0.000000000000000E+000	3.3690989E+000	0.000000000000000E+000
8.999999772640876E+000	3	0.000000000000000E+000	0.000000000000000E+000	3.3691370E+000	0.000000000000000E+000
9.999799747383804E+000	3	0.000000000000000E+000	0.000000000000000E+000	3.3693471E+000	0.000000000000000E+000
1.000019974737370E+001	1	4.185728496975369E-007	-4.185728496975369E-007	3.1743178E+000	0.000000000000000E+000
4.000019898950995E+001	1	3.161567371654510E-002	-3.161567371654510E-002	2.6271570E+000	0.000000000000000E+000
7.000019823164621E+001	1	6.323081605744363E-002	-6.323081605744361E-002	2.4827399E+000	0.000000000000000E+000
1.000001974737825E+002	1	9.484584167244700E-002	-9.484584167244699E-002	2.4164119E+000	0.000000000000000E+000
1.300001967159187E+002	1	1.264608241425223E-001	-1.264608241425223E-001	2.3811285E+000	0.000000000000000E+000
1.600001959580550E+002	1	1.580758169829051E-001	-1.580758169829051E-001	2.3648806E+000	0.000000000000000E+000
1.900001952001912E+002	1	1.896907132726245E-001	-1.896907132726245E-001	2.3602602E+000	0.000000000000000E+000
2.200001944423275E+002	1	2.213056239014599E-001	-2.213056239014599E-001	2.3612912E+000	0.000000000000000E+000
2.500001936844637E+002	1	2.529206033664942E-001	-2.529206033664942E-001	2.3644032E+000	0.000000000000000E+000
2.800001929266000E+002	1	2.845356238612466E-001	-2.845356238612466E-001	2.3683555E+000	0.000000000000000E+000
3.100001921687362E+002	1	3.161506333645052E-001	-3.161506333645052E-001	2.3719258E+000	0.000000000000000E+000
3.400001914108725E+002	1	3.477657318265041E-001	-3.477657318265041E-001	2.3757253E+000	0.000000000000000E+000
3.700001906530088E+002	1	3.793807932230631E-001	-3.793807932230632E-001	2.3794484E+000	0.000000000000000E+000
4.000001898951450E+002	1	4.109958866234885E-001	-4.109958866234885E-001	2.3831332E+000	0.000000000000000E+000
4.300001891372813E+002	1	4.426108740898371E-001	-4.426108740898371E-001	2.3863981E+000	0.000000000000000E+000
4.600001883794175E+002	1	4.742257882484198E-001	-4.742257882484198E-001	2.3895867E+000	0.000000000000000E+000
4.900001876215538E+002	1	5.058407156017356E-001	-5.058407156017356E-001	2.3926797E+000	0.000000000000000E+000
5.200001868636900E+002	1	5.374555682766438E-001	-5.374555682766438E-001	2.3954861E+000	0.000000000000000E+000
5.500001861058263E+002	1	5.690703551356395E-001	-5.690703551356395E-001	2.3981593E+000	0.000000000000000E+000
5.800001853479625E+002	1	6.006851367051866E-001	-6.006851367051866E-001	2.4006793E+000	0.000000000000000E+000
